mesiac,druh,priemer_eur
2023-04,Vdovský,212.81
2023-04,Vdovecký,150.25
2023-05,Starobný,545.12
2023-05,Predčasný starobný,599.27
2023-05,Invalidný,333.82
2023-05,Vdovský,212.99
2023-05,Vdovecký,150.5
2023-06,Starobný,545.92
2023-06,Predčasný starobný,604.2
2023-06,Invalidný,334.21
2023-06,Vdovský,213.04
2023-06,Vdovecký,150.51
2023-07,Starobný,546.33
2023-07,Predčasný starobný,607.83
2023-07,Invalidný,334.57
2023-07,Vdovský,213.08
2023-07,Vdovecký,150.48
2023-08,Starobný,604.66
2023-08,Predčasný starobný,673.61
2023-08,Invalidný,369.83
2023-08,Vdovský,235.66
2023-08,Vdovecký,166.4
2023-09,Starobný,606.18
2023-09,Predčasný starobný,681.88
2023-09,Invalidný,370.72
2023-09,Vdovský,235.99
2023-09,Vdovecký,166.58
2023-10,Starobný,609.22
2023-10,Predčasný starobný,687.06
2023-10,Invalidný,371.02
2023-10,Vdovský,236.03
2023-10,Vdovecký,166.6
2023-11,Starobný,609.75
2023-11,Predčasný starobný,691.67
2023-11,Invalidný,371.11
2023-11,Vdovský,236.07
2023-11,Vdovecký,166.65
2023-12,Starobný,610.3
2023-12,Predčasný starobný,697.53
2023-12,Invalidný,371.25
2023-12,Vdovský,236.19
2023-12,Vdovecký,166.8
2024-01,Starobný,631.47
2024-01,Predčasný starobný,730.39
2024-01,Invalidný,385.29
2024-01,Vdovský,244.85
2024-01,Vdovecký,172.92
2024-02,Starobný,632.97
2024-02,Predčasný starobný,745.14
2024-02,Invalidný,386.81
2024-02,Vdovský,245.19
2024-02,Vdovecký,173.44
2024-03,Starobný,633.51
2024-03,Predčasný starobný,751.88
2024-03,Invalidný,387.77
2024-03,Vdovský,245.21
2024-03,Vdovecký,173.5
2024-04,Starobný,634.97
2024-04,Predčasný starobný,754.23
2024-04,Invalidný,388.79
2024-04,Vdovský,245.22
2024-04,Vdovecký,173.59
2024-05,Starobný,635.86
2024-05,Predčasný starobný,752.88
2024-05,Invalidný,389.56
2024-05,Vdovský,245.3
2024-05,Vdovecký,173.56
2024-06,Starobný,637.67
2024-06,Predčasný starobný,749.44
2024-06,Invalidný,391.34
2024-06,Vdovský,245.34
2024-06,Vdovecký,173.75
2024-07,Starobný,638.29
2024-07,Predčasný starobný,743.53
2024-07,Invalidný,392.52
2024-07,Vdovský,245.42
2024-07,Vdovecký,173.87
2024-08,Starobný,638.94
2024-08,Predčasný starobný,738.28
2024-08,Invalidný,393.51
2024-08,Vdovský,245.48
2024-08,Vdovecký,173.91
2024-09,Starobný,639.63
2024-09,Predčasný starobný,736.55
2024-09,Invalidný,394.54
2024-09,Vdovský,245.62
2024-09,Vdovecký,174.01
2024-10,Starobný,640.29
2024-10,Predčasný starobný,735.05
2024-10,Invalidný,395.39
2024-10,Vdovský,245.82
2024-10,Vdovecký,174.21
2024-11,Starobný,641.92
2024-11,Predčasný starobný,732.23
2024-11,Invalidný,396.1
2024-11,Vdovský,245.98
2024-11,Vdovecký,174.31
2024-12,Starobný,642.35
2024-12,Predčasný starobný,729.3
2024-12,Invalidný,396.51
2024-12,Vdovský,246.13
2024-12,Vdovecký,174.42
2025-01,Starobný,656.22
2025-01,Predčasný starobný,742.75
2025-01,Invalidný,405.12
2025-01,Vdovský,251.47
2025-01,Vdovecký,178.31
2025-02,Starobný,657.43
2025-02,Predčasný starobný,741.25
2025-02,Invalidný,405.97
2025-02,Vdovský,251.86
2025-02,Vdovecký,178.78
2025-03,Starobný,658.04
2025-03,Predčasný starobný,742.35
2025-03,Invalidný,406.76
2025-03,Vdovský,251.94
2025-03,Vdovecký,178.86
2025-04,Starobný,659.2
2025-04,Predčasný starobný,742.74
2025-04,Invalidný,407.6
2025-04,Vdovský,252.18
2025-04,Vdovecký,179.04
2025-05,Starobný,659.52
2025-05,Predčasný starobný,739.81
2025-05,Invalidný,408.14
2025-05,Vdovský,252.35
2025-05,Vdovecký,179.22
2025-06,Starobný,659.91
2025-06,Predčasný starobný,737.45
2025-06,Invalidný,408.59
2025-06,Vdovský,252.49
2025-06,Vdovecký,179.28
2025-07,Starobný,660.21
2025-07,Predčasný starobný,734.59
2025-07,Invalidný,408.71
2025-07,Vdovský,252.75
2025-07,Vdovecký,179.48
2025-08,Starobný,660.59
2025-08,Predčasný starobný,731.13
2025-08,Invalidný,409.03
2025-08,Vdovský,252.89
2025-08,Vdovecký,179.55
2025-09,Starobný,660.9
2025-09,Predčasný starobný,727.93
2025-09,Invalidný,409.03
2025-09,Vdovský,252.97
2025-09,Vdovecký,179.64
2025-10,Starobný,661.26
2025-10,Predčasný starobný,725.24
2025-10,Invalidný,409.05
2025-10,Vdovský,253.17
2025-10,Vdovecký,179.74
2025-11,Starobný,661.39
2025-11,Predčasný starobný,722.91
2025-11,Invalidný,409.03
2025-11,Vdovský,253.34
2025-11,Vdovecký,179.86
2025-12,Starobný,661.62
2025-12,Predčasný starobný,720.21
2025-12,Invalidný,408.87
2025-12,Vdovský,253.49
2025-12,Vdovecký,180.04
2026-01,Starobný,686.28
2026-01,Predčasný starobný,744.01
2026-01,Invalidný,423.79
2026-01,Vdovský,263.04
2026-01,Vdovecký,186.84
2026-02,Starobný,686.98
2026-02,Predčasný starobný,740.12
2026-02,Invalidný,423.62
2026-02,Vdovský,263.55
2026-02,Vdovecký,187.37
2026-03,Starobný,687.49
2026-03,Predčasný starobný,737.82
2026-03,Invalidný,423.71
2026-03,Vdovský,263.7
2026-03,Vdovecký,187.51
2026-04,Starobný,732.05
2026-04,Predčasný starobný,738.78
2026-04,Invalidný,426.94
2026-04,Vdovský,400.12
2026-04,Vdovecký,336.6
